iter	Passed	Remaining
770	42498	12622
771	42640	12593
772	42715	12543
773	42832	12506
774	42954	12470
775	43040	12424
776	43111	12372
777	43177	12320
778	43252	12270
779	43335	12222
780	43399	12169
781	43467	12117
782	43543	12067
783	43627	12019
784	43718	11973
785	43806	11926
786	43866	11872
787	43924	11817
788	43983	11762
789	44048	11709
790	44105	11653
791	44163	11598
792	44217	11542
793	44274	11486
794	44330	11431
795	44388	11375
796	44439	11319
797	44492	11262
798	44544	11205
799	44597	11149
800	44650	11093
801	44703	11036
802	44756	10980
803	44807	10923
804	44859	10866
805	44912	10810
806	44964	10753
807	45021	10698
808	45073	10641
809	45125	10584
810	45177	10528
811	45231	10472
812	45283	10415
813	45334	10358
814	45388	10302
815	45441	10246
816	45494	10190
817	45546	10133
818	45599	10077
819	45651	10021
820	45704	9964
821	45757	9908
822	45809	9852
823	45864	9796
824	45916	9739
825	45969	9683
826	46022	9627
827	46075	9571
828	46127	9514
829	46179	9458
830	46231	9402
831	46282	9345
832	46336	9289
833	46390	9233
834	46446	9177
835	46503	9122
836	46559	9067
837	46621	9012
838	46688	8959
839	46758	8906
840	46819	8851
841	46878	8796
842	46936	8741
843	46989	8685
844	47046	8629
845	47099	8573
846	47152	8517
847	47205	8461
848	47260	8405
849	47314	8349
850	47369	8293
851	47424	8238
852	47476	8181
853	47529	8125
854	47580	8069
855	47629	8012
856	47681	7956
857	47733	7899
858	47785	7843
859	47837	7787
860	47887	7730
861	47936	7674
862	47986	7617
863	48038	7561
864	48088	7505
865	48139	7448
866	48189	7392
867	48240	7336
868	48290	7279
869	48342	7223
870	48402	7168
871	48454	7112
872	48506	7056
873	48557	7000
874	48609	6944
875	48659	6887
876	48711	6831
877	48763	6775
878	48815	6719
879	48865	6663
880	48917	6607
881	48973	6551
882	49033	6497
883	49092	6442
884	49148	6386
885	49207	6331
886	49266	6276
887	49327	6221
888	49380	6165
889	49434	6109
890	49485	6053
891	49537	5997
892	49592	5942
893	49647	5886
894	49700	5830
895	49754	5775
896	49806	5719
897	49858	5663
898	49910	5607
899	49963	5551
900	50014	5495
901	50067	5439
902	50121	5384
903	50174	5328
904	50227	5272
905	50280	5216
906	50331	5160
907	50382	5104
908	50434	5048
909	50488	4993
910	50540	4937
911	50596	4882
912	50648	4826
913	50700	4770
914	50752	4714
915	50807	4659
916	50860	4603
917	50910	4547
918	50960	4491
919	51008	4435
920	51057	4379
921	51108	4323
922	51158	4267
923	51213	4212
924	51262	4156
925	51312	4100
926	51361	4044
927	51411	3988
928	51461	3933
929	51511	3877
930	51560	3821
931	51610	3765
932	51659	3709
933	51710	3654
934	51760	3598
935	51810	3542
936	51861	3486
